"bi","cawt","form","hyd","msp10_sp","msp12_sp","msp15_sp","msp18_sp","msp19_sp","msp20_sp","msp24_sp","msp33_sp","msp3_sp","msp9_sp","root_barn","sowt","sp","tuni","miniacina_miniacea_.r.","miniacina_sp_.a.","miniacina_sp_.j.","parasmittina_margaritata","msp12_bryo","msp14_bryo","smittoidea_cautela","watersipora_subtorquata","smittipora_harmeriana","disporella_novaehollandiae","msp5_bryo","crisia_elongata","tubulipora_sp.","biofr","biofv","cyanob","msp10_ascc","msp10_ascs","msp11_ascs","msp15_ascc","msp16_ascc","msp1_ascc","msp1_ascs","msp22_ascc","msp24_ascc","msp2_ascc","msp2_ascs","msp3_ascs","msp4_ascc","msp5_ascc","msp5_ascs","msp6_ascc","msp6_ascs","msp8_ascc","msp9_ascc","msp9_ascs","X_brup","cca","grup","rdup"
0,2.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.941,0,50.001,0,0,0,0,0,0,2.941,0,0,0,8.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.354,0,0
3.226,0,0,12.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.355,0,0,0,0,0,0,3.226,0,0,0,12.903,6.452,0,0,0,0,0,0,0,0,0,9.677,0,0,0,0,0,0,0,0,0,0,0,0,32.258,0,0
0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,55,0,0
0,18.182,0,6.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,12.121,0,3.03,0,12.121,0,3.03,0,0,0,0,0,0,0,6.061,0,0,0,3.03,0,0,0,0,3.03,0,0,0,30.302,0,0
3.031,3.031,0,9.09,0,0,0,0,0,0,0,0,0,0,3.031,0,0,0,0,0,27.272,0,0,0,0,0,0,6.061,0,0,0,6.061,0,0,6.061,0,0,0,0,0,0,0,0,0,0,0,0,0,3.031,0,0,0,0,0,0,33.333,0,0
0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,5,0,0,2.5,2.5,0,12.5,0,0,0,0,0,0,2.5,32.5,0,0,0,7.499,0,0,0,0,0,0,0,0,0,7.499,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
4.348,13.044,0,0,0,0,0,0,0,0,0,0,0,0,4.348,0,0,0,0,0,4.348,0,0,0,0,0,0,4.348,0,0,0,4.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.214,0,0
3.704,22.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.704,0,14.814,0,0,0,0,0,0,0,29.63,0,0,7.407,7.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.111,0,0
2.703,0,0,21.622,0,0,0,0,0,0,0,0,0,0,2.703,0,0,0,0,0,13.514,0,0,0,0,0,0,0,0,0,0,8.108,2.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.649,0,0
0,4.168,0,20.832,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,16.666,0,0,0,0,0,0,4.168,0,0,0,4.168,8.334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.666,0,0
