"cca","cawt","hyd","msp5_bryo","biofr","miniacina_miniacea_.r.","cyanob","biofv","bi","miniacina_sp_.j.","disporella_novaehollandiae","msp3_sp","sp","msp15_sp","msp12_sp","sowt","tubulipora_sp.","msp20_sp","msp1_ascs","crisia_elongata","msp14_bryo","msp4_ascc","msp9_sp","miniacina_sp_.a.","rdup","msp15_ascc","msp11_ascc","form","msp8_ascc","msp1_ascc","watersipora_subtorquata"
10.344,6.896,0,17.241,3.449,3.449,0,0,0,0,0,0,0,10.344,0,0,0,0,3.449,0,0,24.137,0,0,0,0,0,0,6.896,0,0
38.236,20.588,0,14.705,2.941,0,0,0,2.941,0,0,0,0,2.941,8.823,0,0,0,0,0,0,5.883,0,0,0,0,0,0,2.941,0,0
20.929,13.953,0,11.628,4.652,4.652,0,4.652,0,18.605,0,0,0,0,0,0,0,0,0,0,0,13.953,0,0,0,0,0,0,0,0,0
56.001,16.001,0,4,0,4,4,4,0,7.999,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.091,9.091,3.031,3.031,0,24.243,0,0,0,0,0,3.031,0,0,6.06,0,0,0,0,0,0,18.181,0,0,0,0,0,0,9.091,0,0
26.829,14.634,4.878,0,2.439,36.585,0,4.878,4.878,0,0,4.878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.417,12.5,2.083,0,4.167,50,0,4.167,0,0,0,0,0,0,4.167,4.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.142,49.999,3.572,0,7.143,0,3.572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.572,0,0,0
17.241,17.241,6.897,17.241,24.138,3.448,3.448,0,0,0,0,0,0,10.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,6.667,3.333,6.667,0,13.333,3.333,3.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.389,7.317,7.317,14.634,7.317,9.755,0,2.44,0,17.073,0,0,0,0,4.878,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.46,23.077,0,3.846,0,3.846,0,3.846,7.693,0,0,0,0,0,0,3.846,3.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.375,18.751,0,15.626,9.375,3.125,0,3.125,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,0,0
42.855,5.715,0,8.571,5.715,5.715,0,2.857,0,0,0,2.857,0,0,20,0,0,0,0,0,0,0,0,2.857,0,0,0,0,0,0,0
26.829,0,9.756,21.951,9.756,9.756,0,2.439,0,14.634,0,0,0,0,0,0,0,0,0,0,0,0,0,2.439,0,0,0,0,0,0,0
27.585,41.377,0,0,0,3.449,0,3.449,3.449,3.449,0,0,3.449,0,0,3.449,0,3.449,0,0,0,0,0,0,0,3.449,0,0,0,3.449,0
10,0,0,23.333,13.332,0,0,0,0,3.334,3.334,0,0,3.334,10,6.666,0,0,3.334,0,0,0,0,0,0,0,0,0,0,0,0
28.571,20,0,2.857,5.714,8.571,5.714,0,0,8.571,0,5.714,2.857,0,0,0,0,0,0,0,0,0,0,8.571,0,0,0,0,0,0,0
30.769,0,2.564,15.384,0,2.564,0,2.564,0,23.077,7.693,2.564,0,0,2.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.454,36.363,0,4.546,0,9.091,0,0,0,0,4.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.375,6.25,18.75,9.375,6.25,0,0,6.25,0,0,0,0,3.125,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0
42.857,2.857,8.571,2.857,8.571,20,5.714,0,2.857,0,2.857,2.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.951,9.756,14.634,12.196,9.756,12.196,0,2.439,0,14.634,2.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.182,68.182,9.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.545,0,0,0
30.303,3.031,15.153,0,9.091,9.091,0,0,0,0,0,0,0,0,0,6.06,0,0,3.031,6.06,0,6.06,0,0,0,0,0,0,0,0,0
21.875,6.251,0,0,0,0,0,0,0,0,0,0,9.375,0,12.5,0,0,12.5,0,25.001,0,0,6.251,0,0,3.125,0,0,0,0,0
14.634,0,21.951,9.756,2.439,0,0,0,0,0,0,0,0,0,0,0,2.439,0,0,31.707,0,12.195,0,0,0,4.879,0,0,0,0,0
32,48,12,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.25,21.875,12.5,0,9.375,3.125,0,0,0,0,0,0,0,0,0,0,0,0,3.125,6.25,0,0,0,0,0,0,0,0,0,0,0
12.12,18.182,3.029,0,0,0,0,0,3.029,0,0,3.029,0,0,0,0,0,9.091,0,30.304,0,0,0,0,0,0,0,0,0,0,0
